,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4080186900,,,,,,,,,,,,,,,,,,,,,,,,
4070084300,,,,,,,,,,,,,,,,,,,,,,,,
4070084400,,,,,,,,,,,,,,,,,,,,,,,,
4070084500,,,,,,,,,,,,,,,,,,,,,,,,
4070084600,,,,,,,,,,,,,,,,,,,,,,,,
4080187000,,,,,,,,,,,,,,,,,,,,,,,,
4080187100,,,,,,,,,,,,,,,,,,,,,,,,
4080187200,,,,,,,,,,,,,,,,,,,,,,,,
4080187300,,,,,,,,,,,,,,,,,,,,,,,,
4070084700,,,,,,,,,,,,,,,,,,,,,,,,
4070084800,,,,,,,,,,,,,,,,,,,,,,,,
4070084900,,,,,,,,,,,,,,,,,,,,,,,,
4070085000,,,,,,,,,,,,,,,,,,,,,,,,
4070085100,,,,,,,,,,,,,,,,,,,,,,,,
4070085200,,,,,,,,,,,,,,,,,,,,,,,,
4070085300,,,,,,,,,,,,,,,,,,,,,,,,
4070085400,,,,,,,,,,,,,,,,,,,,,,,,
4070085500,,,,,,,,,,,,,,,,,,,,,,,,
4070085600,,,,,,,,,,,,,,,,,,,,,,,,
4070085700,,,,,,,,,,,,,,,,,,,,,,,,
4070085800,,,,,,,,,,,,,,,,,,,,,,,,
4070085900,,,,,,,,,,,,,,,,,,,,,,,,
4070086000,,,,,,,,,,,,,,,,,,,,,,,,
4070086100,,,,,,,,,,,,,,,,,,,,,,,,
4070086200,,,,,,,,,,,,,,,,,,,,,,,,
4070086300,,,,,,,,,,,,,,,,,,,,,,,,
4070086400,,,,,,,,,,,,,,,,,,,,,,,,
4070086500,,,,,,,,,,,,,,,,,,,,,,,,
4070086600,,,,,,,,,,,,,,,,,,,,,,,,
4070086700,,,,,,,,,,,,,,,,,,,,,,,,
4070096400,,,,,,,,,,,,,,,,,,,,,,,,
4070096500,,,,,,,,,,,,,,,,,,,,,,,,
4070096600,,,,,,,,,,,,,,,,,,,,,,,,
4070096700,,,,,,,,,,,,,,,,,,,,,,,,
4070096800,,,,,,,,,,,,,,,,,,,,,,,,
4070096900,,,,,,,,,,,,,,,,,,,,,,,,
4070097000,,,,,,,,,,,,,,,,,,,,,,,,
4070097100,,,,,,,,,,,,,,,,,,,,,,,,
4070097200,,,,,,,,,,,,,,,,,,,,,,,,
4070097300,,,,,,,,,,,,,,,,,,,,,,,,
4070097400,,,,,,,,,,,,,,,,,,,,,,,,
4070097500,,,,,,,,,,,,,,,,,,,,,,,,
4070097600,,,,,,,,,,,,,,,,,,,,,,,,
4070097700,,,,,,,,,,,,,,,,,,,,,,,,
4070097800,,,,,,,,,,,,,,,,,,,,,,,,
4070097900,,,,,,,,,,,,,,,,,,,,,,,,
4070098000,,,,,,,,,,,,,,,,,,,,,,,,
4070098100,,,,,,,,,,,,,,,,,,,,,,,,
4070098200,,,,,,,,,,,,,,,,,,,,,,,,
4070098300,,,,,,,,,,,,,,,,,,,,,,,,
4070098400,,,,,,,,,,,,,,,,,,,,,,,,
4070098500,,,,,,,,,,,,,,,,,,,,,,,,
4080191200,,,,,,,,,,,,,,,,,,,,,,,,
4080191300,,,,,,,,,,,,,,,,,,,,,,,,
4070098600,79.0,73.0,79.0,80.0,75.0,69.0,74.0,75.0,71.0,69.0,71.0,72.0,68.0,66.0,66.0,70.0,68.0,69.0,70.0,72.0,71.0,74.0,71.0,70.0
4070098700,,,,,,,,,,,,,,,,,,,,,,,,
4070098800,,,,,,,,,,,,,,,,,,,,,,,,
4070098900,,,,,,,,,,,,,,,,,,,,,,,,
4080191400,,,,,,,,,,,,,,,,,,,,,,,,
4080187400,,,,,,,,,,,,,,,,,,,,,,,,
4080187500,,,,,,,,,,,,,,,,,,,,,,,,
4080187600,,,,,,,,,,,,,,,,,,,,,,,,
4080187700,,,,,,,,,,,,,,,,,,,,,,,,
4080187800,,,,,,,,,,,,,,,,,,,,,,,,
4080187900,,,,,,,,,,,,,,,,,,,,,,,,
4080188000,,,,,,,,,,,,,,,,,,,,,,,,
4080188100,,,,,,,,,,,,,,,,,,,,,,,,
4080188200,,,,,,,,,,,,,,,,,,,,,,,,
4070099000,,,,,,,,,,,,,,,,,,,,,,,,
4070099100,,,,,,,,,,,,,,,,,,,,,,,,
4070099200,,,,,,,,,,,,,,,,,,,,,,,,
4070099300,,,,,,,,,,,,,,,,,,,,,,,,
4070099400,,,,,,,,,,,,,,,,,,,,,,,,
4070099500,,,,,,,,,,,,,,,,,,,,,,,,
4070099600,,,,,,,,,,,,,,,,,,,,,,,,
4070099700,,,,,,,,,,,,,,,,,,,,,,,,
4070099800,,,,,,,,,,,,,,,,,,,,,,,,
4070099900,,,,,,,,,,,,,,,,,,,,,,,,
4070100000,,,,,,,,,,,,,,,,,,,,,,,,
4070100100,,,,,,,,,,,,,,,,,,,,,,,,
4070100200,,,,,,,,,,,,,,,,,,,,,,,,
4070100300,,,,,,,,,,,,,,,,,,,,,,,,
4070100400,,,,,,,,,,,,,,,,,,,,,,,,
4070100500,,,,,,,,,,,,,,,,,,,,,,,,
4070100600,,,,,,,,,,,,,,,,,,,,,,,,
4070100700,,,,,,,,,,,,,,,,,,,,,,,,
4070100800,79.0,73.0,79.0,80.0,75.0,69.0,74.0,75.0,71.0,69.0,71.0,72.0,68.0,66.0,66.0,70.0,68.0,69.0,70.0,72.0,71.0,74.0,71.0,70.0
4070100900,64.0,63.0,75.0,71.0,73.0,71.0,65.0,65.0,62.0,62.0,62.0,64.0,61.0,61.0,64.0,60.0,61.0,63.0,62.0,68.0,59.0,62.0,68.0,63.0
4070101000,,,,,,,,,,,,,,,,,,,,,,,,
4070101100,,,,,,,,,,,,,,,,,,,,,,,,
4070101200,,,,,,,,,,,,,,,,,,,,,,,,
4070101300,,,,,,,,,,,,,,,,,,,,,,,,
4070101400,,,,,,,,,,,,,,,,,,,,,,,,
4070101500,,,,,,,,,,,,,,,,,,,,,,,,
4070101600,,,,,,,,,,,,,,,,,,,,,,,,
4070101700,,,,,,,,,,,,,,,,,,,,,,,,
4070101800,,,,,,,,,,,,,,,,,,,,,,,,
4070101900,,,,,,,,,,,,,,,,,,,,,,,,
4070111900,,,,,,,,,,,,,,,,,,,,,,,,
4070112000,,,,,,,,,,,,,,,,,,,,,,,,
4070112100,,,,,,,,,,,,,,,,,,,,,,,,
4070112200,,,,,,,,,,,,,,,,,,,,,,,,
4070112300,,,,,,,,,,,,,,,,,,,,,,,,
4070112400,,,,,,,,,,,,,,,,,,,,,,,,
4070112500,,,,,,,,,,,,,,,,,,,,,,,,
4070112600,,,,,,,,,,,,,,,,,,,,,,,,
4070112700,,,,,,,,,,,,,,,,,,,,,,,,
4070112800,,,,,,,,,,,,,,,,,,,,,,,,
4070112900,,,,,,,,,,,,,,,,,,,,,,,,
4070113000,,,,,,,,,,,,,,,,,,,,,,,,
4070113100,,,,,,,,,,,,,,,,,,,,,,,,
4070113200,,,,,,,,,,,,,,,,,,,,,,,,
4070113300,,,,,,,,,,,,,,,,,,,,,,,,
4070113400,,,,,,,,,,,,,,,,,,,,,,,,
4070113500,,,,,,,,,,,,,,,,,,,,,,,,
4070113600,,,,,,,,,,,,,,,,,,,,,,,,
4070113700,,,,,,,,,,,,,,,,,,,,,,,,
4070113800,,,,,,,,,,,,,,,,,,,,,,,,
4070113900,,,,,,,,,,,,,,,,,,,,,,,,
4070114000,,,,,,,,,,,,,,,,,,,,,,,,
4070114100,,,,,,,,,,,,,,,,,,,,,,,,
4070114200,,,,,,,,,,,,,,,,,,,,,,,,
4070114300,,,,,,,,,,,,,,,,,,,,,,,,
4070114400,,,,,,,,,,,,,,,,,,,,,,,,
4070114500,,,,,,,,,,,,,,,,,,,,,,,,
4070114600,,,,,,,,,,,,,,,,,,,,,,,,
4070114700,,,,,,,,,,,,,,,,,,,,,,,,
4070114800,,,,,,,,,,,,,,,,,,,,,,,,
4070114900,,,,,,,,,,,,,,,,,,,,,,,,
4070115000,,,,,,,,,,,,,,,,,,,,,,,,
4070115100,,,,,,,,,,,,,,,,,,,,,,,,
4070115200,,,,,,,,,,,,,,,,,,,,,,,,
4070115300,,,,,,,,,,,,,,,,,,,,,,,,
4070115400,,,,,,,,,,,,,,,,,,,,,,,,
4070115500,,,,,,,,,,,,,,,,,,,,,,,,
4070115600,,,,,,,,,,,,,,,,,,,,,,,,
4070115700,,,,,,,,,,,,,,,,,,,,,,,,
4070115800,,,,,,,,,,,,,,,,,,,,,,,,
4070115900,,,,,,,,,,,,,,,,,,,,,,,,
4070116000,,,,,,,,,,,,,,,,,,,,,,,,
4070116100,,,,,,,,,,,,,,,,,,,,,,,,
4070116200,,,,,,,,,,,,,,,,,,,,,,,,
4070116300,,,,,,,,,,,,,,,,,,,,,,,,
4070116400,,,,,,,,,,,,,,,,,,,,,,,,
4070116500,,,,,,,,,23.0,16.0,,13.0,41.0,11.0,40.0,35.0,29.0,37.0,19.0,,,,,
4070116600,,,,,,,,,,31.0,31.0,32.0,28.0,33.0,31.0,18.0,36.0,32.0,30.0,27.0,27.0,21.0,,
4070116700,,,,,,,,,,,,,,,,,,,,,,,,
4070116800,,,,,,,,,,,,,,,,,,,,,,,,
4070116900,,,,,,,,,,,,,,,,,,,,,,,,
4070117000,,,,,,,,,,,,,,,,,,,,,,,,
4070117100,,,,,,,,,,,,,,,,,,,,,,,,
4070117200,,,,,,,,,,,,,,,,,,,,,,,,
4070117300,,,,,,,,,,,,,,,,,,,,,,,,
4070117400,,,,,,,,,,,,,,,,,,,,,,,,
4070124700,,,,,,,,,,,,,,,,,,,,,,,,
4070124800,,,,,,,,,,,,,,,,,,,,,,,,
4070124900,,,,,,,,,,,,,,,,,,,,,,,,
4070125000,,,,,,,,,,,,,,,,,,,,,,,,
4070125100,,,,,,,,,,,,,,,,,,,,,,,,
4070125200,,,,,,,,,,,,,,,,,,,,,,,,
4070125300,,,,,,,,,,,,,,,,,,,,,,,,
4070125400,,,,,,,,,,,,,,,,,,,,,,,,
4070125500,,,,,,,,32.0,,15.0,24.0,11.0,29.0,34.0,18.0,10.0,6.0,9.0,11.0,19.0,12.0,29.0,,
4070125600,,,,,,31.0,31.0,34.0,33.0,25.0,27.0,32.0,29.0,25.0,26.0,28.0,33.0,29.0,28.0,24.0,34.0,29.0,15.0,
4070125700,,,,,,,,,,,,,,,,,,,,,,,,
4070125800,,,,,,,,,,,,,,,,,,,,,,,,
4070125900,,,,,,,,,,,,,,,,,,,,,,,,
4070126000,,,,,,,,,,,,,,,,,,,,,,,,
4070126100,,,,,,,,,,,,,,,,,,,,,,,,
4070126200,,,,,,,,,,,,,,,,,,,,,,,,
4070126300,,,,,,,,,,,,,,,,,,,,,,,,
4070126400,,,,,,,,,,,,,,,,,,,,,,,,
4070126500,,,,,,,,,,,,,,,,,,,,,,,,
4070126600,,,,,,,,,,,,,,,,,,,,,,,,
4070126700,,,,,,,,,,,,,,,,,,,,,,,,
4070126800,,,,,,,,,,,,,,,,,,,,,,,,
4070126900,,,,,,,,,,,,,,,,,,,,,,,,
4070127000,,,,,,,,,,,,,,,,,,,,,,,,
4070127100,,,,,,,,,,,,,,,,,,,,,,,,
4070127200,,,,,,,,,,,,,,,,,,,,,,,,
4070127300,,,,,,,,,51.0,43.0,44.0,54.0,55.0,53.0,52.0,50.0,53.0,36.0,41.0,50.0,40.0,,45.0,
4070127400,55.0,,,,,,,49.0,50.0,47.0,53.0,53.0,44.0,48.0,46.0,53.0,44.0,49.0,53.0,50.0,42.0,55.0,55.0,46.0
4070132700,,,,,,,,,,,,,,,,,,,,,,,,
4070132800,,,,,,,,,,,,,,,,,,,,,,,,
4070132900,,,,,,,,,,,,,,,,,,,,,,,,
4070133000,,,,,,,,,,,,,,,,,,,,,,,,
4070133100,,,,,,,,,40.0,42.0,43.0,47.0,52.0,55.0,51.0,52.0,50.0,44.0,49.0,55.0,41.0,,49.0,
4070133200,55.0,,,,,,,55.0,34.0,50.0,52.0,49.0,41.0,50.0,47.0,54.0,55.0,53.0,54.0,53.0,47.0,55.0,55.0,55.0
4070133300,,,,,,,,,,,,,,,,,,,,,,,,
4070133400,,,,,,,,,,,,,,,,,,,,,,,,
4070133500,,,,,,,,,23.0,16.0,,13.0,41.0,11.0,40.0,35.0,29.0,37.0,19.0,,,,,
4070133600,,,,,,,,,,31.0,31.0,32.0,28.0,33.0,31.0,18.0,36.0,32.0,30.0,27.0,27.0,21.0,,
4070133700,,,,,,,,,,,,,,,,,,,,,,,,
4070133800,,,,,,,,,,,,,,,,,,,,,,,,
4070133900,,,,,,,,,,,,,,,,,,,,,,,,
4070134000,,,,,,,,,,,,,,,,,,,,,,,,
4070134100,,,,,,,,,,,,,,,,,,,,,,,,
4070134200,,,,,,,,,,,,,,,,,,,,,,,,
4070134300,,,,,,,,,,,,,,,,,,,,,,,,
4070134400,,,,,,,,,,,,,,,,,,,,,,,,
4070134500,,,,,,,,,,,,,,,,,,,,,,,,
4070134600,,,,,,,,,,,,,,,,,,,,,,,,
4070134700,,,,,,,,,,,,,,,,,,,,,,,,
4070134800,,,,,,,,,,,,,,,,,,,,,,,,
4070134900,,,,,,,,,,,,,,,,,,,,,,,,
4070135000,,,,,,,,,,,,,,,,,,,,,,,,
4070135100,,,,,,,,,,,,,,,,,,,,,,,,
4070135200,,,,,,,,,,,,,,,,,,,,,,,,
4070135300,,,,,,,,,,,,,,,,,,,,,,,,
4070135400,,,,,,,,,,,,,,,,,,,,,,,,
4070136000,,,,,,,,,,,,,,,,,,,,,,,,
4070136100,,,,,,,,,,,,,,,,,,,,,,,,
4070136200,,,,,,,,,,,,,,,,,,,,,,,,
4070136300,,,,,,,,,,,,,,,,,,,,,,,,
4080188300,,,,,,,,,,,,,,,,,,,,,,,,
4080188400,,,,,,,,,,,,,,,,,,,,,,,,
4080188500,,,,,,,,,,,,,,,,,,,,,,,,
4080188600,,,,,,,,,,,,,,,,,,,,,,,,
4080060700,,,,,,,,,,,,,,,,,,,,,,,,
4080060800,,,,,,,,,,,,,,,,,,,,,,,,
4080060900,,,,,,,,,,,,,,,,,,,,,,,,
4080061000,,,,,,,,,,,,,,,,,,,,,,,,
4080061100,,,,,,,,,,,,,,,,,,,,,,,,
4080061200,,,,,,,,,,,,,,,,,,,,,,,,
4080061300,,,,,,,,,,,,,,,,,,,,,,,,
4080061400,,,,,,,,,,,,,,,,,,,,,,,,
4080061500,,,,,,,,,,,,,,,,,,,,,,,,
4080141600,,,,,,,,,,,,,,,,,,,,,,,,
4080141700,,,,,,,,,,,,,,,,,,,,,,,,
